grounded,comparison,condition_true_ASR,control_true_ASR,delta_true_ASR,n_condition,n_control,cohens_h,p_adjusted_holm,significant,achieved_power,MDE_cohens_h_80pow,MDE_true_ASR_delta_80pow_approx
False,authority_vs_control,0.944,0.743,0.201,71,70,0.585,0.0042155299819425,True,0.935,0.472,0.249
False,fabricated_citation_vs_control,0.908,0.743,0.165,76,70,0.447,0.04596610042354114,True,0.77,0.464,0.159
True,authority_vs_control,0.571,0.583,-0.013,156,156,-0.024,0.9087685671246204,False,0.055,0.317,0.001
True,fabricated_citation_vs_control,0.66,0.583,0.077,153,156,0.159,0.4051613379649645,False,0.287,0.319,0.038
