condition,grounded,n_trials,n_initial_correct,initial_acc,final_acc,true_ASR,legacy_ASR_flip_rate,FPR,FNR,mean_conf_delta
ALL_POOLED,False,528.0,145.0,0.286,0.412,0.828,0.769,0.184,0.212,-0.139
ALL_POOLED,True,339.0,244.0,0.76,0.431,0.598,0.581,0.147,0.316,0.025
control,False,176.0,51.0,0.302,0.216,0.706,0.619,0.193,0.227,-0.912
control,True,113.0,82.0,0.766,0.481,0.463,0.442,0.035,0.327,-0.189
authority,False,176.0,49.0,0.29,0.613,0.98,0.949,0.153,0.216,1.095
authority,True,113.0,79.0,0.738,0.336,0.861,0.832,0.274,0.336,0.76
fabricated_citation,False,176.0,45.0,0.266,0.399,0.8,0.739,0.205,0.193,-0.658
fabricated_citation,True,113.0,83.0,0.776,0.477,0.482,0.469,0.133,0.283,-0.477
